"","variable","only_LC","WRB","CEC"
"1","CaCO3",7,6,9
"2","CEC",NA,NA,1
"3","clay",1,1,6
"4","coarse",8,9,10
"5","CountryFinland",19,20,17
"6","CountryFrance",18,16,NA
"7","CountryGreece",NA,NA,16
"8","CountryItaly",NA,13,11
"9","CountryPoland",11,NA,15
"10","CountrySpain",12,15,14
"11","CountrySweden",20,NA,19
"12","CountryUnited Kingdom",17,17,13
"13","Lat",4,3,4
"14","LC0Cropland",3,4,5
"15","LC0Forest (Broadleaves)",16,NA,NA
"16","LC0Forest (Conifer)",15,14,20
"17","LC0Forest (Mixed)",14,11,NA
"18","LC0Grassland",10,10,12
"19","LC0Orchards/Wineyards",13,12,18
"20","Long",5,5,3
"21","pHinCaCl2",2,2,2
"22","sand",6,8,7
"23","silt",9,7,8
"24","WRBFU_groupLV",NA,19,NA
"25","WRBFU_groupPZ",NA,18,NA
